Date,Price,Open,High,Low,Change %
"Jul 03, 2002",954.00,948.10,954.30,934.90,0.62%
"Jul 05, 2002",989.00,965.80,989.10,954.00,3.67%
"Jul 08, 2002",977.00,989.00,993.60,972.90,-1.21%
"Jul 09, 2002",952.80,977.00,979.60,951.70,-2.48%
"Jul 10, 2002",920.50,952.80,956.30,920.30,-3.39%
"Jul 11, 2002",927.40,920.50,929.20,900.90,0.75%
"Jul 12, 2002",921.40,927.40,934.30,913.70,-0.65%
"Jul 15, 2002",917.90,921.40,921.40,876.50,-0.38%
"Jul 16, 2002",901.00,917.90,918.60,897.10,-1.84%
"Jul 17, 2002",906.00,901.00,926.50,895.00,0.55%
"Jul 18, 2002",881.60,906.00,907.80,880.60,-2.69%
"Jul 19, 2002",847.80,864.10,881.60,842.10,-3.83%
"Jul 22, 2002",819.90,847.80,854.10,813.30,-3.29%
"Jul 23, 2002",797.70,819.90,827.70,796.10,-2.71%
"Jul 24, 2002",843.40,797.70,844.30,775.70,5.73%
"Jul 25, 2002",838.70,843.40,853.80,816.10,-0.56%
"Jul 26, 2002",852.80,838.70,852.90,835.90,1.68%
"Jul 29, 2002",899.00,852.80,899.00,852.80,5.42%
"Jul 30, 2002",902.80,899.00,909.80,884.70,0.42%
"Jul 31, 2002",911.60,902.80,911.60,889.90,0.97%
"Aug 01, 2002",884.70,911.60,911.60,882.60,-2.95%
"Aug 02, 2002",864.20,884.70,884.70,854.00,-2.32%
"Aug 05, 2002",834.60,864.20,864.20,833.40,-3.43%
"Aug 06, 2002",859.60,834.60,874.40,834.60,3.00%
"Aug 07, 2002",876.80,859.60,878.70,854.10,2.00%
"Aug 08, 2002",905.50,876.80,905.80,875.20,3.27%
"Aug 09, 2002",908.60,905.50,914.00,890.80,0.34%
"Aug 12, 2002",903.80,908.60,908.60,892.40,-0.53%
"Aug 13, 2002",884.20,903.80,911.70,883.60,-2.17%
"Aug 14, 2002",919.60,884.20,920.20,876.20,4.00%
"Aug 15, 2002",930.20,919.60,933.30,918.20,1.15%
"Aug 16, 2002",928.80,930.20,935.40,916.20,-0.15%
"Aug 19, 2002",950.70,928.80,951.20,927.20,2.36%
"Aug 20, 2002",937.40,950.70,950.70,931.90,-1.40%
"Aug 21, 2002",949.40,937.40,951.60,931.30,1.28%
"Aug 22, 2002",962.70,949.40,965.00,946.40,1.40%
"Aug 23, 2002",940.90,962.70,962.70,937.20,-2.26%
"Aug 26, 2002",948.00,940.90,950.80,930.40,0.75%
"Aug 27, 2002",934.80,948.00,955.80,930.40,-1.39%
"Aug 28, 2002",917.90,934.80,934.80,913.20,-1.81%
"Aug 29, 2002",917.80,917.90,924.60,903.30,-0.01%
"Aug 30, 2002",916.10,917.80,928.10,910.20,-0.19%
"Sep 03, 2002",878.00,916.10,916.10,877.50,-4.16%
"Sep 04, 2002",893.40,878.00,896.10,875.70,1.75%
"Sep 05, 2002",879.10,893.40,893.40,870.50,-1.60%
"Sep 06, 2002",893.90,879.10,899.10,879.10,1.68%
"Sep 09, 2002",903.00,893.90,907.30,882.90,1.02%
"Sep 10, 2002",909.60,903.00,909.90,900.50,0.73%
"Sep 11, 2002",909.50,910.60,924.00,908.50,-0.01%
"Sep 12, 2002",886.90,909.50,909.50,884.80,-2.48%
"Sep 13, 2002",889.80,886.90,892.80,877.00,0.33%
"Sep 16, 2002",891.10,889.80,891.80,878.90,0.15%
"Sep 17, 2002",873.50,891.10,902.70,872.40,-1.98%
"Sep 18, 2002",869.50,873.50,878.50,857.40,-0.46%
"Sep 19, 2002",843.30,869.50,869.50,843.10,-3.01%
"Sep 20, 2002",845.40,843.30,849.30,839.10,0.25%
"Sep 23, 2002",833.70,845.40,845.40,825.80,-1.38%
"Sep 24, 2002",819.30,833.70,833.70,817.40,-1.73%
"Sep 25, 2002",839.70,819.30,844.20,818.50,2.49%
"Sep 26, 2002",855.00,839.70,856.60,839.70,1.82%
"Sep 27, 2002",827.40,855.00,855.00,826.80,-3.23%
"Sep 30, 2002",815.30,827.40,827.40,800.20,-1.46%
"Oct 01, 2002",847.90,815.30,847.90,812.80,4.00%
"Oct 02, 2002",827.90,843.80,851.90,826.50,-2.36%
"Oct 03, 2002",819.00,827.90,840.00,817.20,-1.08%
"Oct 04, 2002",800.60,819.00,825.90,794.10,-2.25%
"Oct 07, 2002",785.30,800.60,808.20,783.00,-1.91%
"Oct 08, 2002",798.50,785.30,808.90,779.50,1.68%
"Oct 09, 2002",776.80,798.50,798.50,775.80,-2.72%
"Oct 10, 2002",803.90,776.80,806.50,768.60,3.49%
"Oct 11, 2002",835.30,803.90,843.30,803.90,3.91%
"Oct 14, 2002",841.40,835.30,844.40,828.40,0.73%
"Oct 15, 2002",881.30,841.40,881.30,841.40,4.74%
"Oct 16, 2002",860.00,881.30,881.30,856.30,-2.42%
"Oct 17, 2002",879.20,860.00,885.40,860.00,2.23%
"Oct 18, 2002",884.40,879.20,886.70,866.60,0.59%
"Oct 21, 2002",899.70,884.40,900.70,873.10,1.73%
"Oct 22, 2002",890.20,899.70,899.70,882.40,-1.06%
"Oct 23, 2002",896.10,890.20,896.10,873.80,0.66%
"Oct 24, 2002",882.50,896.10,902.90,879.00,-1.52%
"Oct 25, 2002",897.60,882.50,897.70,877.00,1.71%
"Oct 28, 2002",890.20,897.60,907.40,886.10,-0.82%
"Oct 29, 2002",882.10,890.20,890.60,867.90,-0.91%
"Oct 30, 2002",890.70,882.10,895.30,879.20,0.97%
"Oct 31, 2002",885.80,890.70,898.80,879.80,-0.55%
"Nov 01, 2002",901.00,885.80,903.40,877.70,1.72%
"Nov 04, 2002",908.40,901.00,924.60,901.00,0.82%
"Nov 05, 2002",915.40,908.40,915.80,904.90,0.77%
"Nov 06, 2002",923.80,915.40,925.70,905.00,0.92%
"Nov 07, 2002",902.60,923.80,923.80,898.70,-2.29%
"Nov 08, 2002",894.70,902.60,910.10,891.60,-0.88%
"Nov 11, 2002",876.20,894.70,894.70,874.60,-2.07%
